Link/source,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://oilfund.az/en/report-and-statistics/recent-figures,https://oilfund.az/en/report-and-statistics/recent-figures,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/
2019Q3,8610.8,4500.5,20170.4,11432.5,234.2,254,11774.9,4180.7,2111.5,10594.9,8196.2,42524.4,3123,5027.711358,1785.098207,901.5798463,4523.868488,3499.658412
2019Q4,9216.4,4554.2,23316.7,13547.6,253,297.5,12981.4,6468.6,2976.9,9784.3,8318.8,43323.3,3828,5130.988142,2556.758893,1176.640316,3867.312253,3288.063241
2020Q1,5613.4,2820.5,17928.1,10320.7,319.4,365.9,11226.8,3055.3,2249.2,8821.5,7042.3,41349.5,4631,3514.96556,956.5748278,704.1953663,2761.897307,2204.852849
2020Q2,6324.5,3565.3,16450.6,11086.4,260.1,311,10204.3,3210.3,2753.7,5445.6,5595.3,43223.4,1044,3923.221838,1234.256055,1058.708189,2093.656286,2151.211073
2020Q3,8029.5,4328.3,17965.4,11607.4,223.7,268.2,11438.6,3961.7,3084.8,5695.9,6830.1,43288.6,3177.5,5113.366115,1770.98793,1378.989718,2546.22262,3053.240948
2020Q4,8651.2,4384.8,20088.1,13114.9,232.2,299.1,10993.7,6800.8,3451.4,5891.9,6946.6,43564.3,3347.5,4734.582257,2928.854436,1486.391042,2537.424634,2991.645134
2021Q1,5540.3,2901.6,18727.7,10692.8,340.2,373.3,11221.8,2638.2,3005.5,7724.6,6482.5,42761.3,2513.7,3298.589065,775.4850088,883.4509112,2270.605526,1905.496767
2021Q2,6671.7,3999.2,21341.1,12704.9,319.9,317.7,11660.7,3281.2,3117.8,9118.6,6589.4,44104.9,2183,3645.107846,1025.69553,974.6170678,2850.453267,2059.831197
2021Q3,8599.1,4630.1,22439.8,13248.7,261,286.1,12573.9,3430,3481,10146.3,7191.5,44226.4,2613,4817.586207,1314.176245,1333.716475,3887.471264,2755.363985
2021Q4,8755.6,4515.7,23476.4,13585.3,268.1,300.8,12859.2,4293.4,3405.3,10349,7430.4,44226.4,2613,4796.419247,1601.417382,1270.160388,3860.126818,2771.50317
2022Q1,5725.2,3341.9,21400.5,11429.7,373.8,342,11997.9,2606.6,3018.3,9971.7,6194,44226.4,2613,3209.711075,697.3247726,807.4638844,2667.656501,1657.035848
